Case_ID;Event;Type;Order;Is_Chord;Timestamp
29;F#5;quarter note;102;True;2020-01-20T00:00:57.499996
30;D5;quarter note;103;True;2020-01-20T00:00:57.999996
30;F5;quarter note;103;True;2020-01-20T00:00:57.999996
30;B4;quarter note;104;True;2020-01-20T00:00:58.499996
30;D#5;quarter note;104;True;2020-01-20T00:00:58.499996
30;Pause;quarter note;105;False;2020-01-20T00:00:58.999996
30;C5;quarter note;106;True;2020-01-20T00:00:59.499996
30;E5;quarter note;106;True;2020-01-20T00:00:59.499996
31;Pause;quarter note;107;False;2020-01-20T00:00:59.999996
31;E4;quarter note;108;True;2020-01-20T00:01:00.499996
31;G#4;quarter note;108;True;2020-01-20T00:01:00.499996
31;F4;quarter note;109;True;2020-01-20T00:01:00.999996
31;A4;quarter note;109;True;2020-01-20T00:01:00.999996
31;G4;quarter note;110;True;2020-01-20T00:01:01.499996
31;C5;quarter note;110;True;2020-01-20T00:01:01.499996
32;Pause;quarter note;111;False;2020-01-20T00:01:01.999996
32;C4;quarter note;112;True;2020-01-20T00:01:02.499996
32;A4;quarter note;112;True;2020-01-20T00:01:02.499996
32;E4;quarter note;113;True;2020-01-20T00:01:02.999996
32;C5;quarter note;113;True;2020-01-20T00:01:02.999996
32;F4;quarter note;114;True;2020-01-20T00:01:03.499996
32;D5;quarter note;114;True;2020-01-20T00:01:03.499996
33;Pause;half note;115;False;2020-01-20T00:01:04.499996
33;G#4;quarter note;116;True;2020-01-20T00:01:04.999996
33;D#5;quarter note;116;True;2020-01-20T00:01:04.999996
33;Pause;half note;117;False;2020-01-20T00:01:05.999996
34;F4;quarter note;118;True;2020-01-20T00:01:06.499996
34;D5;quarter note;118;True;2020-01-20T00:01:06.499996
34;Pause;half note;119;False;2020-01-20T00:01:07.499996
35;E4;quarter note;120;True;2020-01-20T00:01:07.999996
35;C5;quarter note;120;True;2020-01-20T00:01:07.999996
35;Pause;whole note;121;False;2020-01-20T00:01:09.999996
36;Pause;whole note;122;False;2020-01-20T00:01:11.999996
37;Pause;quarter note;123;False;2020-01-20T00:01:12.499996
37;E5;quarter note;124;True;2020-01-20T00:01:12.999996
37;G5;quarter note;124;True;2020-01-20T00:01:12.999996
37;D#5;quarter note;125;True;2020-01-20T00:01:13.499996
37;F#5;quarter note;125;True;2020-01-20T00:01:13.499996
38;D5;quarter note;126;True;2020-01-20T00:01:13.999996
38;F5;quarter note;126;True;2020-01-20T00:01:13.999996
38;B4;quarter note;127;True;2020-01-20T00:01:14.499996
38;D#5;quarter note;127;True;2020-01-20T00:01:14.499996
38;Pause;quarter note;128;False;2020-01-20T00:01:14.999996
38;C5;quarter note;129;True;2020-01-20T00:01:15.499996
38;E5;quarter note;129;True;2020-01-20T00:01:15.499996
39;Pause;quarter note;130;False;2020-01-20T00:01:15.999996
39;E4;quarter note;131;True;2020-01-20T00:01:16.499996
39;G#4;quarter note;131;True;2020-01-20T00:01:16.499996
39;F4;quarter note;132;True;2020-01-20T00:01:16.999996
39;A4;quarter note;132;True;2020-01-20T00:01:16.999996
39;G4;quarter note;133;True;2020-01-20T00:01:17.499996
39;C5;quarter note;133;True;2020-01-20T00:01:17.499996
40;Pause;quarter note;134;False;2020-01-20T00:01:17.999996
40;C4;quarter note;135;True;2020-01-20T00:01:18.499996
40;A4;quarter note;135;True;2020-01-20T00:01:18.499996
40;E4;quarter note;136;True;2020-01-20T00:01:18.999996
40;C5;quarter note;136;True;2020-01-20T00:01:18.999996
40;F4;quarter note;137;True;2020-01-20T00:01:19.499996
40;D5;quarter note;137;True;2020-01-20T00:01:19.499996
41;Pause;half note;138;False;2020-01-20T00:01:20.499996
41;E5;quarter note;139;True;2020-01-20T00:01:20.999996
41;G5;quarter note;139;True;2020-01-20T00:01:20.999996
41;D#5;quarter note;140;True;2020-01-20T00:01:21.499996
41;F#5;quarter note;140;True;2020-01-20T00:01:21.499996
42;D5;quarter note;141;True;2020-01-20T00:01:21.999996
42;F5;quarter note;141;True;2020-01-20T00:01:21.999996
42;B4;quarter note;142;True;2020-01-20T00:01:22.499996
42;D#5;quarter note;142;True;2020-01-20T00:01:22.499996
42;Pause;quarter note;143;False;2020-01-20T00:01:22.999996
42;C5;quarter note;144;True;2020-01-20T00:01:23.499996
42;E5;quarter note;144;True;2020-01-20T00:01:23.499996
43;Pause;quarter note;145;False;2020-01-20T00:01:23.999996
43;F5;quarter note;146;True;2020-01-20T00:01:24.499996
43;G5;quarter note;146;True;2020-01-20T00:01:24.499996
43;C6;quarter note;146;True;2020-01-20T00:01:24.499996
43;Pause;quarter note;147;False;2020-01-20T00:01:24.999996
43;F5;quarter note;148;True;2020-01-20T00:01:25.499996
43;G5;quarter note;148;True;2020-01-20T00:01:25.499996
43;C6;quarter note;148;True;2020-01-20T00:01:25.499996
44;F5;quarter note;149;True;2020-01-20T00:01:25.999996
44;G5;quarter note;149;True;2020-01-20T00:01:25.999996
44;C6;quarter note;149;True;2020-01-20T00:01:25.999996
44;Pause;whole note;150;False;2020-01-20T00:01:27.999996
45;Pause;quarter note;151;False;2020-01-20T00:01:28.499996
45;E5;quarter note;152;True;2020-01-20T00:01:28.999996
45;G5;quarter note;152;True;2020-01-20T00:01:28.999996
45;D#5;quarter note;153;True;2020-01-20T00:01:29.499996
45;F#5;quarter note;153;True;2020-01-20T00:01:29.499996
46;D5;quarter note;154;True;2020-01-20T00:01:29.999996
46;F5;quarter note;154;True;2020-01-20T00:01:29.999996
46;B4;quarter note;155;True;2020-01-20T00:01:30.499996
46;D#5;quarter note;155;True;2020-01-20T00:01:30.499996
46;Pause;quarter note;156;False;2020-01-20T00:01:30.999996
46;C5;quarter note;157;True;2020-01-20T00:01:31.499996
46;E5;quarter note;157;True;2020-01-20T00:01:31.499996
47;Pause;quarter note;158;False;2020-01-20T00:01:31.999996
47;E4;quarter note;159;True;2020-01-20T00:01:32.499996
47;G#4;quarter note;159;True;2020-01-20T00:01:32.499996
47;F4;quarter note;160;True;2020-01-20T00:01:32.999996
47;A4;quarter note;160;True;2020-01-20T00:01:32.999996
47;G4;quarter note;161;True;2020-01-20T00:01:33.499996
47;C5;quarter note;161;True;2020-01-20T00:01:33.499996
48;Pause;quarter note;162;False;2020-01-20T00:01:33.999996
48;C4;quarter note;163;True;2020-01-20T00:01:34.499996
48;A4;quarter note;163;True;2020-01-20T00:01:34.499996
48;E4;quarter note;164;True;2020-01-20T00:01:34.999996
48;C5;quarter note;164;True;2020-01-20T00:01:34.999996
48;F4;quarter note;165;True;2020-01-20T00:01:35.499996
48;D5;quarter note;165;True;2020-01-20T00:01:35.499996
49;Pause;half note;166;False;2020-01-20T00:01:36.499996
49;G#4;quarter note;167;True;2020-01-20T00:01:36.999996
49;D#5;quarter note;167;True;2020-01-20T00:01:36.999996
49;Pause;half note;168;False;2020-01-20T00:01:37.999996
50;F4;quarter note;169;True;2020-01-20T00:01:38.499996
50;D5;quarter note;169;True;2020-01-20T00:01:38.499996
50;Pause;half note;170;False;2020-01-20T00:01:39.499996
51;E4;quarter note;171;True;2020-01-20T00:01:39.999996
51;C5;quarter note;171;True;2020-01-20T00:01:39.999996
51;Pause;whole note;172;False;2020-01-20T00:01:41.999996
52;Pause;half note;173;False;2020-01-20T00:01:42.999996
52;Pause;triplet half note;174;False;2020-01-20T00:01:43.333329
52;Pause;sixteenth note;175;False;2020-01-20T00:01:43.458329
53;G#4;quarter note;176;True;2020-01-20T00:01:43.958329
53;C5;quarter note;176;True;2020-01-20T00:01:43.958329
53;G#4;quarter note;177;True;2020-01-20T00:01:44.458329
53;C5;quarter note;177;True;2020-01-20T00:01:44.458329
53;Pause;quarter note;178;False;2020-01-20T00:01:44.958329
53;G#4;quarter note;179;True;2020-01-20T00:01:45.458329
53;C5;quarter note;179;True;2020-01-20T00:01:45.458329
54;Pause;quarter note;180;False;2020-01-20T00:01:45.958329
54;G#4;quarter note;181;True;2020-01-20T00:01:46.458329
54;C5;quarter note;181;True;2020-01-20T00:01:46.458329
54;A#4;quarter note;182;True;2020-01-20T00:01:46.958329
54;D5;quarter note;182;True;2020-01-20T00:01:46.958329
54;Pause;quarter note;183;False;2020-01-20T00:01:47.458329
55;G4;quarter note;184;True;2020-01-20T00:01:47.958329
55;E5;quarter note;184;True;2020-01-20T00:01:47.958329
55;E4;quarter note;185;True;2020-01-20T00:01:48.458329
